ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ
 NANO Node Vote Tallies → Grouped by [Root Hash] → Sorted by [Timestamp]
ˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍ
  498x ROOT: 4070C203A31F0C8DC895EEEAEB358D3806CD342B876E55B51AD75D2EE03FF25A
 MAIN BLOCK: 4FE0807D6666E4389381A91A34BAC3A06A906E67950722A6AB3476799A5271EA 
 FORK BLOCK: 070BFF6310BA814F2E94C22C5592F61A7D7D119CEDDB5DD751F60CFDE5D097DD
    MAIN BLOCK  |     FORK BLOCK  |                      TIMESTAMP
         42,32% |           0,13% |   [2018-06-18 03:39:19.743219]
         55,29% |           0,13% |   [2018-06-18 03:39:19.747209]
         65,09% |           0,13% |   [2018-06-18 03:39:19.782207]
         69,20% |           0,13% |   [2018-06-18 03:39:20.068551]
         71,93% |           0,13% |   [2018-06-18 03:39:20.069554]
         71,93% |           0,13% |   [2018-06-18 03:39:25.607574]
         71,93% |           0,13% |   [2018-06-18 03:39:25.966373]
         71,93% |           0,13% |   [2018-06-18 03:39:38.975670]
         71,93% |           0,13% |   [2018-06-18 03:39:39.097734]
         71,93% |           0,13% |   [2018-06-18 03:39:39.102748]
         71,93% |           0,13% |   [2018-06-18 03:39:39.630670]
         71,93% |           0,13% |   [2018-06-18 03:39:39.710636]
         71,93% |           0,13% |   [2018-06-18 03:39:48.602825]
         71,93% |           0,13% |   [2018-06-18 03:40:03.153663]
         71,93% |           0,13% |   [2018-06-18 03:40:03.190771]
         71,93% |           0,13% |   [2018-06-18 03:40:03.236815]
         71,93% |           0,13% |   [2018-06-18 03:40:03.254818]
         71,93% |           0,13% |   [2018-06-18 03:40:03.280905]
         71,93% |           0,13% |   [2018-06-18 03:40:03.331117]
         71,93% |           0,13% |   [2018-06-18 03:40:03.364208]
         71,93% |           0,13% |   [2018-06-18 03:40:03.491273]
         71,93% |           0,13% |   [2018-06-18 03:40:03.535427]
         71,93% |           0,13% |   [2018-06-18 03:40:03.694476]
         72,62% |           0,13% |   [2018-06-18 03:40:03.704465]
         72,62% |           0,13% |   [2018-06-18 03:40:03.716467]
         72,62% |           0,13% |   [2018-06-18 03:40:03.790507]
         72,62% |           0,13% |   [2018-06-18 03:40:04.034716]
         72,70% |           0,13% |   [2018-06-18 03:40:04.056777]
         72,70% |           0,13% |   [2018-06-18 03:40:04.073775]
         72,70% |           0,13% |   [2018-06-18 03:40:04.133911]
         72,70% |           0,13% |   [2018-06-18 03:40:04.424008]
         72,70% |           0,13% |   [2018-06-18 03:40:04.490012]
         72,70% |           0,13% |   [2018-06-18 03:40:06.001967]
         72,70% |           0,13% |   [2018-06-18 03:40:12.212084]
         42,01% |           0,13% |   [2018-06-18 03:45:26.665396]
         42,44% |           0,13% |   [2018-06-18 03:45:26.713655]
         55,41% |           0,13% |   [2018-06-18 03:45:26.724699]
         55,61% |           0,13% |   [2018-06-18 03:45:28.048281]
         57,45% |           0,13% |   [2018-06-18 03:45:30.906184]
         57,87% |           0,13% |   [2018-06-18 03:45:30.946244]
         57,87% |           0,13% |   [2018-06-18 03:45:31.177567]
         57,87% |           0,13% |   [2018-06-18 03:45:31.182567]
         61,98% |           0,13% |   [2018-06-18 03:45:31.215678]
         65,63% |           0,13% |   [2018-06-18 03:45:31.298676]
         65,63% |           0,13% |   [2018-06-18 03:45:31.462400]
         65,63% |           0,13% |   [2018-06-18 03:45:32.142986]
         65,63% |           0,13% |   [2018-06-18 03:45:32.181352]
         65,63% |           0,13% |   [2018-06-18 03:45:32.288365]
         65,63% |           0,13% |   [2018-06-18 03:45:32.303400]
         65,80% |           0,13% |   [2018-06-18 03:45:32.319444]
         65,80% |           0,13% |   [2018-06-18 03:45:32.718749]
         65,80% |           0,13% |   [2018-06-18 03:45:33.036717]
         65,80% |           0,13% |   [2018-06-18 03:45:36.602003]
         65,80% |           0,13% |   [2018-06-18 03:45:37.084519]
         69,32% |           0,13% |   [2018-06-18 03:45:37.104252]
         69,32% |           0,13% |   [2018-06-18 03:45:39.034022]
         69,32% |           0,13% |   [2018-06-18 03:45:39.045049]
         69,32% |           0,13% |   [2018-06-18 03:45:39.123091]
         69,32% |           0,13% |   [2018-06-18 03:45:39.158249]
         72,04% |           0,13% |   [2018-06-18 03:45:39.209905]
         72,04% |           0,13% |   [2018-06-18 03:45:39.281401]
         72,04% |           0,13% |   [2018-06-18 03:45:39.550465]
         72,04% |           0,13% |   [2018-06-18 03:45:39.625656]
         72,04% |           0,13% |   [2018-06-18 03:45:46.429911]
         72,04% |           0,13% |   [2018-06-18 03:45:46.515335]
         72,04% |           0,13% |   [2018-06-18 03:45:46.599473]
         72,04% |           0,13% |   [2018-06-18 03:45:46.615372]
         72,04% |           0,13% |   [2018-06-18 03:45:46.634601]
         72,04% |           0,13% |   [2018-06-18 03:45:46.742763]
         72,04% |           0,13% |   [2018-06-18 03:45:46.795808]
         72,04% |           0,13% |   [2018-06-18 03:45:46.807844]
         72,04% |           0,13% |   [2018-06-18 03:45:46.808836]
         72,04% |           0,13% |   [2018-06-18 03:45:46.829936]
         72,04% |           0,13% |   [2018-06-18 03:45:46.890894]
         72,04% |           0,13% |   [2018-06-18 03:45:46.904894]
         72,04% |           0,13% |   [2018-06-18 03:45:47.093917]
         72,04% |           0,13% |   [2018-06-18 03:45:47.197289]
         72,04% |           0,13% |   [2018-06-18 03:45:47.228319]
         72,04% |           0,13% |   [2018-06-18 03:45:47.316130]
         72,15% |           0,13% |   [2018-06-18 03:45:47.751842]
         74,88% |           0,13% |   [2018-06-18 03:45:47.941924]
         74,88% |           0,13% |   [2018-06-18 03:45:49.377369]
         74,88% |           0,13% |   [2018-06-18 03:45:49.555214]
         74,88% |           0,13% |   [2018-06-18 03:45:52.164826]
         74,88% |           0,13% |   [2018-06-18 03:45:52.272756]
         74,88% |           0,13% |   [2018-06-18 03:45:52.284756]
         74,88% |           0,13% |   [2018-06-18 03:45:52.309767]
         75,31% |           0,13% |   [2018-06-18 03:45:52.368755]
         75,31% |           0,13% |   [2018-06-18 03:45:52.390784]
         75,31% |           0,13% |   [2018-06-18 03:45:52.394783]
         75,31% |           0,13% |   [2018-06-18 03:45:52.568931]
         75,31% |           0,13% |   [2018-06-18 03:45:52.578966]
         75,39% |           0,13% |   [2018-06-18 03:45:52.795388]
         75,39% |           0,13% |   [2018-06-18 03:45:58.160861]
         75,39% |           0,13% |   [2018-06-18 03:45:58.660962]
         75,39% |           0,13% |   [2018-06-18 03:46:02.130779]
         75,39% |           0,13% |   [2018-06-18 03:46:02.141778]
         75,39% |           0,13% |   [2018-06-18 03:46:02.192778]
         75,39% |           0,13% |   [2018-06-18 03:46:02.310836]
         75,39% |           0,13% |   [2018-06-18 03:46:02.548987]
         75,39% |           0,13% |   [2018-06-18 03:46:08.933178]
         75,39% |           0,13% |   [2018-06-18 03:46:09.042260]
         75,39% |           0,13% |   [2018-06-18 03:46:09.046260]
         75,39% |           0,13% |   [2018-06-18 03:46:09.060259]
         75,39% |           0,13% |   [2018-06-18 03:46:09.069277]
         75,39% |           0,13% |   [2018-06-18 03:46:09.077276]
         75,39% |           0,13% |   [2018-06-18 03:46:09.109323]
         75,39% |           0,13% |   [2018-06-18 03:46:09.117315]
         75,39% |           0,13% |   [2018-06-18 03:46:09.174747]
         75,39% |           0,13% |   [2018-06-18 03:46:09.199283]
         75,39% |           0,13% |   [2018-06-18 03:46:09.230316]
         75,39% |           0,13% |   [2018-06-18 03:46:09.243442]
         75,39% |           0,13% |   [2018-06-18 03:46:09.253572]
         75,39% |           0,13% |   [2018-06-18 03:46:09.279371]
         75,39% |           0,13% |   [2018-06-18 03:46:09.292442]
         76,08% |           0,13% |   [2018-06-18 03:46:09.315436]
         76,08% |           0,13% |   [2018-06-18 03:46:09.346444]
         76,08% |           0,13% |   [2018-06-18 03:46:09.428491]
         76,08% |           0,13% |   [2018-06-18 03:46:10.574426]
         76,08% |           0,13% |   [2018-06-18 03:46:10.678003]
         76,08% |           0,13% |   [2018-06-18 03:46:10.771360]
         76,08% |           0,13% |   [2018-06-18 03:46:10.948565]
         76,08% |           0,13% |   [2018-06-18 03:46:11.208682]
         76,08% |           0,13% |   [2018-06-18 03:46:12.696353]
         76,08% |           0,13% |   [2018-06-18 03:46:13.437422]
         76,08% |           0,13% |   [2018-06-18 03:46:13.688280]
         76,08% |           0,13% |   [2018-06-18 03:46:13.699280]
         76,08% |           0,13% |   [2018-06-18 03:46:14.125516]
         76,08% |           0,13% |   [2018-06-18 03:46:14.655767]
         76,08% |           0,13% |   [2018-06-18 03:46:14.842854]
         76,08% |           0,13% |   [2018-06-18 03:46:15.069836]
         76,08% |           0,13% |   [2018-06-18 03:46:15.703446]
         76,08% |           0,13% |   [2018-06-18 03:46:15.766431]
         76,08% |           0,13% |   [2018-06-18 03:46:15.847652]
         76,08% |           0,13% |   [2018-06-18 03:46:16.000679]
         76,08% |           0,13% |   [2018-06-18 03:46:17.276280]
         76,08% |           0,13% |   [2018-06-18 03:46:17.545936]
